PENSION GARANTIZADA UNIVERSAL (PGU);;;;;;;;;;;;;;;;;;;;;
dic-24;;;;;;;;;;;;;;;;;;;;;
(Número y Monto en miles de $);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Región;Cód. Comuna;Glosa Comuna;Nº Hombre;Monto m$ Hombre;Nº Mujer;Monto m$ Mujer;Total Nº;Total Mto. m$;;;;;;;;;;;;;
6;6116;REQUINOA;113;24.215;578;123.482;691;147.697;1.329;279.435;1.009;214.213;2.338;493.648;1.442;303.651;1.587;337.695;3.029;641.346;
6;6117;SAN VICENTE;690;147.702;1.404;298.762;2.094;446.463;2.706;570.936;2.645;559.160;5.351;1.130.097;3.396;718.638;4.049;857.922;7.445;1.576.560;
6;6201;PICHILEMU;283;60.529;548;116.671;831;177.201;1.022;212.802;930;196.201;1.952;409.003;1.305;273.331;1.478;312.872;2.783;586.203;
6;6202;LA ESTRELLA;96;20.572;147;31.502;243;52.074;232;48.369;194;41.237;426;89.607;328;68.942;341;72.739;669;141.681;
6;6203;LITUECHE;149;31.867;286;60.907;435;92.774;433;89.874;324;67.929;757;157.803;582;121.741;610;128.837;1.192;250.578;
6;6204;MARCHIHUE;88;18.858;270;56.906;358;75.764;525;110.730;397;83.594;922;194.323;613;129.588;667;140.500;1.280;270.088;
6;6205;NAVIDAD;322;68.676;370;78.700;692;147.375;334;69.677;334;70.776;668;140.453;656;138.353;704;149.476;1.360;287.828;
6;6206;PAREDONES;209;44.516;363;77.789;572;122.306;407;86.432;298;63.855;705;150.286;616;130.948;661;141.644;1.277;272.592;
6;6301;SAN FERNANDO;639;136.766;1.576;335.647;2.215;472.413;3.561;744.724;4.057;857.147;7.618;1.601.872;4.200;881.491;5.633;1.192.795;9.833;2.074.285;
6;6302;CHEPICA;274;58.717;568;121.141;842;179.858;870;184.974;704;149.515;1.574;334.489;1.144;243.691;1.272;270.656;2.416;514.347;
6;6303;CHIMBARONGO;461;98.620;936;198.947;1.397;297.567;1.731;367.435;1.626;345.865;3.357;713.300;2.192;466.055;2.562;544.811;4.754;1.010.867;
6;6304;LOLOL;136;29.120;314;67.289;450;96.409;446;94.742;370;78.878;816;173.620;582;123.862;684;146.167;1.266;270.029;
6;6305;NANCAGUA;141;30.055;437;92.336;578;122.390;922;195.360;815;172.952;1.737;368.312;1.063;225.415;1.252;265.287;2.315;490.702;
6;6306;PALMILLA;107;22.786;356;75.556;463;98.343;766;162.730;508;107.725;1.274;270.455;873;185.516;864;183.282;1.737;368.798;
6;6307;PERALILLO;127;27.132;400;84.678;527;111.810;686;145.452;557;117.274;1.243;262.727;813;172.584;957;201.952;1.770;374.537;
6;6308;PLACILLA;81;17.289;217;46.188;298;63.477;442;94.076;429;91.600;871;185.676;523;111.365;646;137.788;1.169;249.153;
6;6309;PUMANQUE;91;19.486;185;39.645;276;59.130;239;50.519;225;48.217;464;98.735;330;70.004;410;87.861;740;157.866;
6;6310;SANTA CRUZ;558;119.304;1.279;272.636;1.837;391.940;2.108;444.674;2.154;454.691;4.262;899.365;2.666;563.978;3.433;727.328;6.099;1.291.306;
7;7101;TALCA;2.041;436.186;5.907;1.255.365;7.948;1.691.551;9.893;2.069.072;11.644;2.447.386;21.537;4.516.459;11.934;2.505.258;17.551;3.702.752;29.485;6.208.010;
7;7102;CONSTITUCION;562;120.320;1.379;294.572;1.941;414.893;2.215;464.370;1.790;377.609;4.005;841.979;2.777;584.690;3.169;672.182;5.946;1.256.872;
7;7103;CUREPTO;490;105.001;614;131.196;1.104;236.197;534;112.010;490;102.762;1.024;214.772;1.024;217.011;1.104;233.958;2.128;450.969;
7;7104;EMPEDRADO;111;23.596;178;37.954;289;61.550;132;28.287;98;20.787;230;49.074;243;51.883;276;58.741;519;110.624;
7;7105;MAULE;399;85.440;813;172.993;1.212;258.433;1.313;277.943;1.217;256.644;2.530;534.587;1.712;363.383;2.030;429.637;3.742;793.020;
7;7106;PELARCO;175;37.502;320;67.891;495;105.393;438;91.968;406;85.924;844;177.893;613;129.470;726;153.815;1.339;283.285;
7;7107;PENCAHUE;194;41.573;312;66.860;506;108.434;452;95.958;348;73.700;800;169.659;646;137.532;660;140.561;1.306;278.093;
7;7108;RIO CLARO;218;46.704;427;90.932;645;137.636;717;152.191;542;115.168;1.259;267.359;935;198.895;969;206.100;1.904;404.995;
7;7109;SAN CLEMENTE;716;153.373;1.448;304.524;2.164;457.897;1.981;420.534;1.577;333.870;3.558;754.404;2.697;573.907;3.025;638.394;5.722;1.212.302;
7;7110;SAN RAFAEL;96;20.572;294;62.413;390;82.986;461;97.669;376;79.280;837;176.949;557;118.241;670;141.693;1.227;259.935;
7;7201;CAUQUENES;862;184.501;1.617;344.892;2.479;529.394;2.155;456.077;2.630;556.630;4.785;1.012.707;3.017;640.578;4.247;901.522;7.264;1.542.101;
7;7202;CHANCO;322;69.003;447;95.467;769;164.470;392;82.739;383;80.845;775;163.584;714;151.742;830;176.312;1.544;328.054;
7;7203;PELLUHUE;331;70.644;386;82.337;717;152.981;290;60.529;321;67.144;611;127.673;621;131.173;707;149.481;1.328;280.653;
7;7301;CURICO;1.280;273.629;3.251;693.417;4.531;967.046;7.257;1.530.290;7.575;1.596.463;14.832;3.126.752;8.537;1.803.919;10.826;2.289.879;19.363;4.093.798;
7;7302;HUALAÑE;256;54.807;490;103.635;746;158.442;581;123.846;499;105.866;1.080;229.712;837;178.654;989;209.500;1.826;388.154;
7;7303;LICANTEN;198;42.315;284;60.572;482;102.887;324;67.357;319;67.764;643;135.121;522;109.672;603;128.336;1.125;238.008;
7;7304;MOLINA;382;81.788;1.186;252.308;1.568;334.096;2.341;497.989;2.118;448.776;4.459;946.766;2.723;579.778;3.304;701.084;6.027;1.280.862;
7;7305;RAUCO;187;40.073;341;72.926;528;113.000;519;110.388;431;91.666;950;202.055;706;150.462;772;164.593;1.478;315.054;
7;7306;ROMERAL;157;33.644;383;81.883;540;115.527;711;150.031;632;133.733;1.343;283.764;868;183.675;1.015;215.616;1.883;399.291;
7;7307;SAGRADA FAMILIA;250;53.284;512;109.529;762;162.813;993;211.285;750;159.980;1.743;371.265;1.243;264.569;1.262;269.508;2.505;534.078;
7;7308;TENO;392;84.004;803;170.981;1.195;254.985;1.463;311.742;1.265;267.824;2.728;579.566;1.855;395.746;2.068;438.806;3.923;834.552;
7;7309;VICHUQUEN;166;35.573;221;47.169;387;82.742;210;44.171;161;33.674;371;77.845;376;79.744;382;80.843;758;160.587;
